epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,2806.51,0.92542,0.55425,0.95481,0.30839,0.28138,0.19013,0.06761,2.40333,1.3305,1.81861,0.0046045,0.0046045,0.0046045
111,2826.41,0.92211,0.55023,0.95798,0.30621,0.23785,0.17395,0.06356,2.42378,1.41787,1.83228,0.004555,0.004555,0.004555
112,2846.3,0.91697,0.54559,0.95637,0.33931,0.26296,0.19099,0.07031,2.36621,1.33701,1.78609,0.0045055,0.0045055,0.0045055
113,2866.24,0.9115,0.54868,0.95082,0.2927,0.27923,0.18797,0.06988,2.36147,1.37826,1.79131,0.004456,0.004456,0.004456
114,2886.34,0.91946,0.55163,0.95805,0.28611,0.25588,0.177,0.06681,2.37821,1.39017,1.80943,0.0044065,0.0044065,0.0044065
115,2906.69,0.91163,0.54292,0.9503,0.2135,0.18867,0.12008,0.04143,2.61009,1.78364,1.98934,0.004357,0.004357,0.004357
116,2926.72,0.91185,0.54677,0.95647,0.26674,0.21759,0.14508,0.05246,2.48377,1.60264,1.88607,0.0043075,0.0043075,0.0043075
117,2946.76,0.9009,0.53746,0.94701,0.28159,0.23489,0.14815,0.0528,2.47947,1.57552,1.88994,0.004258,0.004258,0.004258
118,2966.87,0.89887,0.53741,0.94874,0.54904,0.46079,0.42079,0.19186,1.82536,0.87966,1.4389,0.0042085,0.0042085,0.0042085
119,2986.91,0.9002,0.53449,0.95323,0.29675,0.28407,0.18773,0.0684,2.32511,1.37514,1.79688,0.004159,0.004159,0.004159
120,3007.06,0.8977,0.53664,0.94932,0.4013,0.40569,0.30397,0.13052,2.00557,1.06233,1.56241,0.0041095,0.0041095,0.0041095
121,3027.14,0.89967,0.53889,0.95266,0.33516,0.33108,0.22993,0.08716,2.20913,1.25737,1.71019,0.00406,0.00406,0.00406
122,3047.46,0.89335,0.53392,0.94942,0.34134,0.29849,0.21536,0.08218,2.26439,1.27521,1.74732,0.0040105,0.0040105,0.0040105
123,3067.39,0.89638,0.52926,0.94586,0.24698,0.18416,0.12652,0.04442,2.54353,1.71291,1.95824,0.003961,0.003961,0.003961
124,3087.41,0.89651,0.53328,0.94794,0.27055,0.26287,0.18472,0.06784,2.36024,1.4447,1.81373,0.0039115,0.0039115,0.0039115
